OBJECTID,COMID_NHDv,HUC6,NT_Taxa,GNIS_NAME
29956,9247514,30401,1,
14699,8474908,20801,7,
16930,8548535,20802,3,
45872,14364422,20700,1,
16257,8526575,20802,2,
9280,4539711,20801,1,
18387,8627945,30101,1,
19570,8672445,30101,1,
11592,6889424,50500,1,
17952,8623981,30101,1,
12267,6908403,50500,2,
17985,8624245,30101,1,
35503,10478685,30102,1,
13868,8419852,20700,1,
15228,8503230,20801,2,
20944,8712545,30101,1,
21533,8740933,30102,1,
16165,8525449,20802,5,
29713,9244874,30401,2,Stoney Creek
19459,8671711,30101,1,
19910,8674983,30101,1,Little Peters Creek
16663,8544451,20802,1,
9151,4529179,20700,1,
15479,8507294,20801,1,
15751,8522187,20802,1,
18710,8630827,30101,1,
59296,22339807,20700,1,
15513,8507722,20801,3,
18577,8628841,30101,1,Cooks Branch
2120,1088103,50702,2,
20410,8679923,30101,1,
20607,8695857,30101,1,
19055,8648630,30101,2,
20335,8679373,30101,1,Ash Camp Creek
21287,8724627,30102,1,
16018,8524295,20802,2,
21461,8726539,30102,1,
21623,8742047,30102,1,
35316,10469373,30102,2,
42789,12055884,20403,1,
17398,8573667,20802,1,
42723,12049652,30101,1,
19838,8674589,30101,1,Koger Creek
11608,6889514,50500,1,
18902,8631961,30101,1,
19453,8671643,30101,1,
55969,19761386,60101,3,
15142,8501574,20801,1,
16037,8524511,20802,2,
30458,9252278,30401,1,
35767,10482669,30102,1,Little Alligator River
59187,22338979,20700,1,
21502,8738179,30102,1,
10858,6883660,50500,1,
11656,6889838,50500,1,
18158,8626113,30101,1,
18723,8630955,30101,1,
16738,8545811,20802,1,
18935,8632363,30101,1,
15423,8506450,20801,3,
32289,10066053,20802,1,
16272,8526629,20802,1,
18731,8630993,30101,5,
2027,1087245,50702,1,
45821,14362692,20700,1,
17981,8624207,30101,3,
12417,6909985,50500,1,
17258,8567263,20802,2,
35615,10479411,30102,1,
55824,19754069,60101,1,
18404,8628127,30101,1,
19455,8671653,30101,6,
18066,8625185,30101,2,
56103,19762278,60101,1,
8946,4508458,20700,1,
16394,8527121,20802,3,
21359,8725409,30102,2,
15534,8508696,20801,1,
18227,8626661,30101,3,
16307,8526769,20802,1,
15117,8493806,20801,1,
17931,8623791,30101,1,
8938,4508372,20700,1,
16278,8526657,20802,3,Carr Branch
16509,8539403,20802,3,
18488,8628441,30101,2,
12152,6907683,50500,1,
12423,6910017,50500,1,
9137,4528953,20700,1,South Fork Quantico Creek
13888,8420670,20700,1,
15681,8521725,20802,2,
18195,8626417,30101,1,
18514,8628535,30101,1,
15125,8494024,20801,2,
19790,8674331,30101,2,
20194,8678469,30101,3,
15791,8522473,20802,1,
20517,8694939,30101,3,
35100,10461245,30102,1,Licking Branch
46059,14638377,60102,1,
35835,10484497,30102,1,
18911,8632087,30101,1,
19161,8650936,30101,1,
46029,14637943,60102,1,
16540,8539597,20802,5,
21319,8724959,30102,1,
30050,9248462,30401,1,
30270,9250858,30401,3,
39979,11586112,30102,1,
10770,5910005,20700,1,
17061,8549675,20802,1,
17308,8572483,20802,1,
18036,8624893,30101,1,
9222,4533655,20700,2,
16821,8546821,20802,1,
18174,8626241,30101,1,
16392,8527117,20802,1,
18474,8628379,30101,2,
32325,10066603,20802,1,
8777,4506256,20700,1,Horsepen Branch
17912,8623629,30101,1,
20478,8693239,30101,1,Jerimy Creek
21681,8742625,30102,1,
14553,8466983,20801,1,
20705,8700747,30101,4,
45891,14365082,20700,1,Lynnwood Run
16214,8526223,20802,4,
19815,8674433,30101,1,
45843,14363120,20700,1,
17703,8610285,20802,1,
19342,8653544,30101,1,
55844,19754153,60101,1,
10327,5890182,20700,1,McKeldey Run
20641,8696213,30101,2,Mineral Springs Branch
56189,19762670,60101,2,
11546,6889122,50500,1,
35528,10478805,30102,1,
9238,4534015,20700,1,
17908,8623587,30101,1,
19262,8652654,30101,1,
14752,8476094,20801,1,
18521,8628563,30101,1,
16166,8525451,20802,8,
32074,9896472,20801,1,
46154,14639275,60102,1,
21130,8722183,30102,2,
15765,8522249,20802,2,
10766,5909713,20700,1,
45833,14362990,20700,1,
55753,19753033,60101,1,
19610,8672723,30101,1,
17330,8572831,20802,4,
19373,8657486,30101,1,
12421,6910013,50500,1,
18817,8631475,30101,1,
19235,8652252,30101,1,
15156,8501776,20801,4,
18131,8625901,30101,2,
19639,8672987,30101,1,Turkeycock Creek
13996,8431332,20700,1,
18812,8631453,30101,4,
35695,10479957,30102,2,
15084,8492774,20801,1,
19174,8651060,30101,1,Gilliam Branch
14909,8478816,20801,3,
15924,8523183,20802,1,
19765,8674225,30101,4,White Oak Creek
20863,8710727,30101,2,
20946,8712571,30101,3,
21334,8725163,30102,2,
12080,6906453,50500,1,
14771,8476202,20801,2,
17816,8611491,20802,1,
17900,8623479,30101,1,
16827,8546913,20802,1,
20270,8678917,30101,3,
21172,8723685,30102,1,
13865,8419688,20700,9,
29678,9244278,30401,1,Ring Creek
13887,8420668,20700,1,
16292,8526711,20802,1,
21618,8742011,30102,2,
30393,9251506,30401,1,Sarrett Branch
14985,8489716,20801,1,
16314,8526809,20802,2,
18405,8628129,30101,2,
18886,8631879,30101,2,
20902,8711925,30101,2,
19124,8649664,30101,1,
32382,10067641,20802,1,
17992,8624313,30101,1,
18869,8631721,30101,4,
15373,8506042,20801,1,
11844,6891568,50500,1,
15340,8505768,20801,4,
19386,8657628,30101,1,
16659,8544327,20802,2,
20450,8692965,30101,2,
55451,19750945,60101,3,
16300,8526747,20802,1,
20226,8678625,30101,2,
20529,8695111,30101,2,
16164,8525437,20802,2,
59240,22339409,20700,9,
15094,8493052,20801,1,
15884,8523005,20802,1,
19084,8649040,30101,1,
10650,5908349,20700,1,Naked Creek
11424,6888072,50500,2,
19173,8651040,30101,3,
9239,4534019,20700,1,
42691,12049056,30101,1,
46132,14639137,60102,1,
12361,6909577,50500,1,
18248,8626819,30101,2,
18510,8628519,30101,2,Indian Run
59274,22339609,20700,2,
20472,8693169,30101,1,Bowle Spring Branch
21290,8724643,30102,2,
16139,8525279,20802,1,
10928,6884206,50500,1,
15634,8521295,20802,4,
18056,8625095,30101,4,Rocky Branch
18602,8628931,30101,1,
16793,8546455,20802,1,
59282,22339659,20700,1,
20598,8695749,30101,2,
55647,19752035,60101,3,Waters Branch
17517,8577769,20802,1,
32203,10063591,20802,1,
10855,6883650,50500,1,
12369,6909665,50500,4,
15227,8503222,20801,2,
8697,4505456,20700,1,
18427,8628223,30101,5,
42721,12049488,30101,1,
12165,6907743,50500,1,
19507,8672071,30101,1,
29699,9244414,30401,1,Long Branch
11541,6889094,50500,1,
15038,8490870,20801,1,
16321,8526859,20802,6,
19391,8657692,30101,1,
9211,4531773,20700,1,
18362,8627831,30101,1,
55782,19753233,60101,2,
20521,8694983,30101,1,
42635,12048318,30101,1,
17372,8573219,20802,2,
18649,8629109,30101,3,
16160,8525413,20802,1,
46471,14641423,60102,1,
10478,5895686,20700,3,Tavenner Run
15424,8506478,20801,1,
17207,8566725,20802,1,
21802,8745375,30102,1,
45974,14637625,60102,4,
29930,9247050,30401,1,
17918,8623685,30101,1,
18628,8629023,30101,3,
29708,9244838,30401,1,
12117,6907445,50500,15,
16163,8525427,20802,2,
17870,8612311,20802,2,
12419,6909997,50500,1,
18497,8628465,30101,1,
15342,8505772,20801,1,
15858,8522855,20802,1,
59125,22338459,20700,1,
12375,6909705,50500,1,
32299,10066217,20802,1,
11539,6889080,50500,1,
14972,8489540,20801,8,
18272,8626929,30101,4,Maple Branch
8693,4505354,20700,1,
15528,8508132,20801,1,
55433,19750829,60101,4,
9249,4534393,20700,3,
19244,8652396,30101,1,
35454,10478153,30102,1,Indiantown Creek
15704,8521887,20802,1,
12157,6907703,50500,2,
11113,6885788,50500,1,Big Indian Creek
55907,19760932,60101,2,
14892,8477892,20801,1,
15139,8501530,20801,1,
17616,8608135,20802,3,
13895,8421636,20700,1,
14042,8433508,20700,1,
15505,8507666,20801,2,
15672,8521629,20802,1,
18121,8625771,30101,2,
18884,8631839,30101,1,Hundley Branch
12217,6908021,50500,1,
16482,8539139,20802,1,
20467,8693129,30101,1,
18815,8631461,30101,3,
10942,6884316,50500,1,
19156,8650880,30101,1,
46063,14638465,60102,1,
46349,14640321,60102,1,Ford Branch
16679,8544579,20802,4,
17265,8567711,20802,2,
17305,8572459,20802,1,
20332,8679339,30101,1,
39779,11582066,30102,1,
13907,8421972,20700,1,Elklick Run
18873,8631761,30101,1,
20595,8695739,30101,1,
15918,8523161,20802,1,
17486,8577417,20802,3,
19941,8675101,30101,1,Big Branch
56273,19763146,60101,2,
17596,8607529,20802,1,
16033,8524489,20802,1,
14565,8467167,20801,2,
15234,8503286,20801,1,
18700,8629301,30101,6,Bonys Run
19628,8672873,30101,2,
20574,8695555,30101,2,
55510,19751251,60101,3,
11618,6889614,50500,1,
12195,6907887,50500,1,
55619,19751841,60101,1,Sugarcamp Branch
9192,4531045,20700,1,
16347,8526941,20802,1,
20386,8679729,30101,1,
21184,8723789,30102,2,
55516,19751269,60101,1,
19471,8671833,30101,1,
35070,10460279,30102,1,
16181,8525621,20802,1,
16655,8544259,20802,3,
20591,8695713,30101,3,
35079,10460535,30102,2,
56142,19762436,60101,1,
10468,5895604,20700,2,
15769,8522305,20802,1,
17026,8549385,20802,1,
20249,8678763,30101,3,
18038,8624901,30101,4,
